Word,Pron,NMorph,POS,I_Mean_RT,I_Zscore,I_SD,Obs,I_Mean_Accuracy,I_NMG_Mean_RT,I_NMG_Zscore,I_NMG_SD,I_NMG_Obs,I_NMG_Mean_Accuracy
a,"""e",1,minor|NN,798.92,-0.01,333.85,24,0.73,662.09,-0.32,174.69,23,0.96
aah,NULL,NULL,NULL,816.43,0.21,186.03,21,0.62,646.4,-0.35,130.45,25,0.93
Aaron,"""E.r@n",1,NN,736.06,-0.11,289.01,32,0.97,686.11,-0.2,179.29,27,1
aback,"@.b""ak",1,RB,796.27,0.11,171.61,15,0.45,596.54,-0.55,89.45,26,0.96
abacus,"""a.b@.k@s",1,NN,964.4,0.65,489,15,0.47,792.69,0.31,200.19,16,0.62
abandon,"@.b""an.4@n",1,VB|NN,695.72,-0.31,220.41,32,0.97,623.96,-0.52,98.25,27,1
abandoned,"@.b""an.4@nd",2,VB|JJ,860.77,-0.09,447.56,31,0.91,635.16,-0.49,101.65,25,1
abandoning,"@.b""an.4@n.IN",2,VB,740.55,-0.11,288.44,33,1,782.78,0.06,218.57,23,0.92
abandonment,"@.b""an.4@n.m@nt",2,NN,771.09,0,229.53,34,1,794.7,0.21,256.3,23,0.96
abase,"@.b""es",2,VB,803.27,0.03,309.52,22,0.69,640.21,-0.37,142.5,24,0.86
abasement,"@.b""es.m@nt",3,NN,1037.06,0.92,311.84,17,0.53,809.74,0.41,211.36,27,0.96
abash,"@.b""aS",1,VB,748.71,0.23,194.37,21,0.68,594.43,-0.72,99.57,28,0.97
abate,"@.b""et",1,VB,719.54,-0.09,180.88,24,0.71,668.39,-0.31,201.54,28,1
abated,"@.b""e4.@d",2,VB,894.23,0.45,289.82,22,0.69,693.28,-0.16,172.49,25,0.96
abbess,"""a.b@s",1,NN,885.14,0.28,324.2,7,0.22,797,0.06,248.28,14,0.56
abbey,"""a.bi",1,NN,726.19,-0.1,235.91,21,0.66,682.57,-0.16,152.26,23,0.92
abbot,"""a.b@t",1,NN,808.58,0.21,268.65,24,0.71,750.13,0.04,167.89,23,0.82
abbreviate,"@.br""i.vi.et",3,VB,795.03,0.16,316.55,31,0.94,708.44,-0.09,156.29,27,0.96
abide,"@.b""aId",1,VB,773.21,-0.18,276.41,33,0.94,633.83,-0.3,145.25,29,1
abides,"@.b""aIdz",2,VB,750.63,-0.05,221.05,27,0.82,696.22,-0.29,187.42,27,1
abiding,"@.b""aI4.IN",2,JJ|VB,784.67,0.05,243.05,27,0.82,620.16,-0.36,99.42,25,0.96
Abigail,"""a.b@.gel",1,NN,881.12,0.19,361.4,26,0.81,802.15,0.18,284.71,26,1
abbreviated,"@.br""i.vi.%e4.@d",4,JJ|VB,698.45,-0.25,170.37,31,0.94,695.63,-0.26,201.23,27,1
abbreviation,"@.br%i.vi.""e.Sn=",4,NN,728.91,-0.02,163.59,33,1,714.93,-0.04,149.43,28,1
abbreviations,"@.br%i.vi.""e.Sn=z",5,NN,729.13,-0.12,218.3,31,0.91,689.48,-0.11,150.88,25,1
abdicate,"""ab.d@.ket",1,VB,1056,0.84,475.66,18,0.56,819.91,0.41,239.44,22,0.85
abdomen,"""ab.d@.m@n",1,NN,806.13,0.01,312.59,31,0.89,758.67,-0.02,317.23,27,0.96
abdominal,"ab.d""A.m@.nl=",2,JJ,715.55,-0.13,191.24,31,0.94,737.76,0.05,173.61,21,0.88
abduct,"@b.d""Vkt",2,VB,769.67,0.03,251.22,30,0.88,707.81,-0.21,285.9,27,1
abduction,"@b.d""Vk.Sn=",3,NN,795.88,0.01,245.03,32,0.94,667.38,-0.32,138.12,26,0.93
Abe,"""eb",1,NN,820.67,0.08,254.99,33,1,625.52,-0.41,116.7,27,1
abed,"@.b""Ed",1,RB,887.5,0.5,319.02,10,0.29,634.5,-0.4,163.65,26,0.93
Abel,"""e.bl=",1,NN,782.75,-0.24,328.75,20,0.65,713.92,0.2,215.81,25,0.96
Abel's,"""e.bl=z",2,encl,840.14,0.2,333.08,28,0.82,768.23,0.04,216.2,26,0.93
aberrant,"@.b""E.r@nt",2,JJ,955.38,0.55,487.31,13,0.38,818.76,0.3,242.1,21,0.75
aberration,"%a.b@`.r""e.Sn=",3,NN,946.55,0.51,332.94,20,0.63,882.48,0.69,268.79,27,1
aberrations,"%a.b@`.r""e.Sn=z",4,NN,1005.37,0.94,412.32,19,0.58,829.63,0.45,223.19,24,0.89
abet,"@.b""Et",1,VB,792,0.37,221.47,11,0.32,619.14,-0.34,130.37,22,0.81
abetted,"@.b""E4.@d",2,VB,998.5,0.71,372.52,18,0.53,654.63,-0.32,150.42,24,0.86
abeyance,"@.b""e@ns",2,NN,914,0.22,179.38,4,0.13,889.75,0.68,285.69,12,0.6
abhor,"@b.h""Or",1,VB,786.15,0.12,184.4,20,0.57,789,0.12,198.83,22,0.81
abhorred,"@b.h""Ord",2,VB,798.44,0.41,154.4,18,0.56,791.88,0.16,215.48,17,0.65
abhorrent,"@b.h""Or.@nt",2,JJ,794.15,0.25,203.55,13,0.41,781.32,0.31,195.15,19,0.7
abilities,"@.b""Il.@.4iz",3,NN,657.06,-0.49,257.54,32,0.97,711.81,-0.14,154.38,27,0.96
ability,"@.b""Il.@.4i",2,NN,619.68,-0.48,186.54,31,0.97,580.39,-0.72,81.98,28,1
abject,"""ab.dZEkt",1,JJ,692.67,0.07,162.77,9,0.28,768.38,0.11,215.74,26,0.93
ablaze,"@.bl""ez",2,JJ,740.73,0.15,175.11,22,0.65,644.36,-0.22,172.52,25,0.93
able,"""e.bl=",1,JJ,623.3,-0.5,214.58,33,1,628.21,-0.6,198.35,28,1
ably,"""e.bli",2,RB,796.14,0.14,297.96,14,0.42,773.83,0.33,234.52,24,0.86
abnormal,"ab.n""Or.ml=",3,JJ,684.91,-0.19,234.31,33,1,673.38,-0.31,223.4,26,1
abnormalities,"%ab.nOr.m""al.@.4iz",5,NN,901.26,0.3,262.7,31,0.91,726.61,0.23,191.43,28,1
abnormality,"%ab.nOr.m""al.@.4i",4,NN,781.44,0.03,273.6,34,1,671.48,-0.31,178.42,25,0.93
abnormally,"ab.n""Or.ml=.i",4,RB,843.26,0.02,402.4,31,0.97,639.04,-0.29,132.36,25,0.96
aboard,"@.b""Ord",1,minor|RB,628.16,-0.52,220.02,31,0.94,654.87,-0.48,233.89,23,0.88
abode,"@.b""od",1,NN,855.83,0.27,332.04,30,0.88,665.96,-0.3,175.01,24,0.89
abolish,"@.b""A.lIS",1,VB,703.22,-0.26,229.56,32,0.97,654.76,-0.46,137.1,29,1
abolished,"@.b""A.lISt",2,VB,664.63,-0.36,223.12,32,0.97,659.32,-0.34,173.89,28,1
abolition,"%a.b@.l""IS.n=",2,NN,834.33,0.08,342.42,30,0.91,904.14,0.41,406.21,21,0.88
abolitionist,"%a.b@.l""IS.n=.Ist",3,NN|JJ,982.89,0.64,310.02,28,0.9,917.08,0.76,285.82,24,0.86
abolitionists,"%a.b@.l""IS.n=.Ists",4,NN,1010.97,0.78,280.61,30,0.97,859.38,0.55,306.06,24,0.89
abominate,"@.b""A.m@.net",2,VB,888.59,0.51,268.72,27,0.82,849,0.68,241.2,21,0.88
aborigines,"%a.b@`.r""I.dZ@.niz",4,NN,977.36,0.73,238.69,22,0.69,875.94,0.69,239.16,17,0.81
abort,"@.b""Ort",1,VB,672.48,-0.41,235.69,31,0.97,583.7,-0.63,128.57,27,1
abominable,"@.b""A.m@.n@.bl=",2,JJ,829.07,0.27,373.99,28,0.93,899.21,0.74,339.06,19,0.76
aboriginal,"%a.b@`.r""I.dZ@.nl=",3,JJ|NN,916.73,0.63,264.9,22,0.67,923.68,0.72,366.79,22,0.96
aborigine,"%a.b@`.r""I.dZ@.ni",3,NN,933.6,0.73,319.68,10,0.31,951.93,1.12,222.38,15,0.68
abortion,"@.b""Or.Sn=",2,NN,686.45,-0.32,245.73,33,0.97,660.69,-0.21,186.69,26,1
abortionist,"@.b""Or.Sn=.Ist",3,NN,833.82,0.12,243.54,34,0.97,807.79,0.2,229.37,24,1
abortions,"@.b""Or.Sn=z",3,NN,774.63,-0.2,212.35,30,0.97,643.48,-0.34,173.68,27,0.96
abortive,"@.b""Or4.Iv",2,JJ,881.08,0.14,454.68,26,0.79,713.44,-0.07,199.18,27,0.96
abound,"@.b""aUnd",1,VB,768.9,-0.07,324.78,30,0.91,596.33,-0.65,126.77,27,1
abounded,"@.b""aUn4.@d",2,VB,832.31,0.17,433.81,29,0.88,685.54,-0.28,197.59,24,0.92
abounding,"@.b""aUn4.IN",2,VB,884.52,0.28,417.12,31,0.91,657,-0.34,108.03,27,0.96
abounds,"@.b""aUndz",2,VB,678.9,-0.28,212.35,31,0.89,614.67,-0.54,121.76,27,0.96
about,"@.b""aUt",1,minor|RB|JJ,628.19,-0.56,167.99,31,0.94,560.43,-0.77,114.89,28,0.97
above,"@.b""Vv",1,minor|JJ|NN,564.33,-0.85,162.03,33,0.94,561.39,-0.72,131.47,28,1
aboveground,"@.b""Vv.gr%aUnd",2,RB|JJ,830.65,0.19,187.02,31,0.94,755.89,0.1,176.13,27,1
abracadabra,"%a.br@.k@.d""a.br@",1,minor,889.25,0.74,285.97,20,0.65,950.95,1.11,237.99,22,0.92
Abraham,"""e.br@.h%am",1,NN,782.84,-0.14,269.09,32,1,729.88,-0.15,254.22,26,0.96
abrasion,"@.br""e.Zn=",2,NN,807.35,0.08,242.71,26,0.79,743.31,-0.05,203.04,26,0.96
abrasive,"@.br""es.Iv",2,JJ,710.59,-0.25,187.55,32,0.94,635.54,-0.43,77.62,26,0.96
abreast,"@.br""Est",1,RB,846.48,0.41,331.99,31,0.94,711,-0.16,153.05,24,0.92
abridged,"@.br""IdZd",2,VB,927.29,0.24,441.94,31,0.91,758.54,0.05,222.61,28,1
abridgment,"@.br""IdZ.m@nt",2,NN,1152.61,0.87,484.35,18,0.6,786.96,0.2,214.61,23,0.96
abroad,"@.br""Od",1,RB|NN,654.69,-0.51,184.99,32,0.97,621.7,-0.56,97.09,27,1
abrogate,"""a.br@.get",3,VB,798.58,0.72,104.22,12,0.38,1052.43,0.91,349.07,14,0.78
abrogated,"""a.br@.g%e4.@d",4,VB,818.53,0.32,197.03,15,0.47,805.88,0.71,271.25,17,0.74
abrupt,"@.br""Vpt",1,JJ,690.97,-0.19,165.98,34,1,584.89,-0.51,97.79,27,1
abruptly,"@.br""Vpt.li",2,RB,701.21,-0.12,172.03,33,0.97,637.79,-0.36,146.49,28,1
abruptness,"@.br""Vpt.n@s",2,NN,817.68,0.33,234.22,28,0.82,768.5,-0.04,233.61,28,1
abscess,"""ab.sEs",1,NN,1033.5,1.02,445.44,18,0.58,801.45,0.46,248.78,20,0.83
abscesses,"""ab.sEs.@z",2,NN,1061.21,1.06,348.18,19,0.66,978.68,0.78,376.91,19,0.73
abscissa,"ab.s""I.s@",2,NN,953.15,0.77,338.62,13,0.41,748.57,0.25,153.42,7,0.3
abscond,"@b.sk""And",1,VB,774.11,0.54,119,9,0.26,803.2,0.38,220.62,20,0.71
absence,"""ab.sn=s",2,NN,687,-0.4,404.05,32,0.97,666.15,-0.33,271.8,27,1
absences,"""ab.sn=s.@z",3,NN,812.12,-0.09,440.99,34,0.97,713,-0.06,212.27,27,0.96
absent,"""ab.sn=t",2,JJ,665.32,-0.41,260.97,34,1,607.88,-0.5,137.15,26,1
absented,"ab.s""En4.@d",3,VB,794.58,-0.07,325.3,26,0.84,792.21,0.15,233.11,24,0.86
absentee,"%ab.sn=t.""i",3,JJ,886.79,0.32,375.03,28,0.85,671.09,-0.4,184.81,23,0.85
absenteeism,"%ab.sn=t.""i.I.zm=",4,NN,963.42,0.81,324.59,19,0.59,917.86,1.02,242,21,0.91
absently,"""ab.sn=t.li",3,RB,648.1,-0.4,245.67,30,0.94,716.08,-0.03,216.36,26,0.93
absinth,"""ab.sInT",1,NN,744.5,0.83,91.22,2,0.07,710.3,0.23,214.49,10,0.43
absolute,"""ab.s@.l%ut",1,JJ|NN,707.03,-0.34,202.54,34,1,578.29,-0.63,123.92,28,1
absoluteness,"""ab.s@.l%ut.n@s",2,NN,888.84,0.17,379.42,31,0.97,707.25,-0.01,168.95,28,1
absentmindedly,"%ab.sn=t.m""aIn4.@d.li",5,RB,1038.53,1.1,305.67,19,0.66,835.06,0.54,245.48,18,0.72
absolutely,"%ab.s@.l""ut.li",2,RB,667,-0.45,212.49,35,1,682.46,-0.3,156.07,28,1
absolutes,"""ab.s@.l%uts",2,NN,826.7,0.02,321.53,33,0.94,666.5,-0.36,136.44,28,1
absolution,"%ab.s@.l""u.Sn=",2,NN,842.88,0.29,251.67,24,0.8,695.85,-0.13,144.72,27,1
absolutism,"""ab.s@.l%u4.I.zm=",2,NN,934.96,0.48,361.28,27,0.82,904.61,0.63,250.1,23,0.79
absolve,"@b.z""Alv",2,VB,730.12,-0.19,184.71,25,0.76,653.3,-0.37,160.68,27,1
absorb,"@b.z""Orb",2,VB,632.91,-0.54,198.31,33,0.97,640.72,-0.42,119.1,25,0.93
absorbed,"@b.z""Orbd",3,VB|JJ,735.41,-0.24,311.38,32,0.97,656.81,-0.39,155.91,26,1
absorbency,"@b.z""Orb.@n.si",3,NN,955.82,0.53,409.63,28,0.85,769.08,0.15,189.97,24,0.96
absorbent,"@b.z""Orb.@nt",3,JJ,793.73,0.12,252.35,30,0.91,805.7,0.16,219.72,27,1
absorber,"@b.z""Orb.@`",3,NN,794.7,0.16,240.48,30,0.86,675.56,-0.32,243.96,25,0.93
absorbing,"@b.z""Orb.IN",3,VB|JJ,747.06,-0.08,264.97,32,0.97,644.52,-0.21,169.32,27,1
absorbs,"@b.z""Orbz",3,VB,675,-0.47,186.33,34,1,671.04,-0.24,118.57,26,0.93
absorption,"@b.z""Orp.Sn=",3,NN,825.69,0.25,273.87,29,0.88,710.11,-0.01,182.92,28,1
absorptions,"@b.z""Orp.Sn=z",4,NN,841.13,0.31,248.26,32,1,791.63,0.21,247.43,24,0.96
absorptive,"@b.z""Orp.tIv",3,JJ,873.88,0.54,347.87,17,0.57,864.5,0.69,242.95,20,0.74
abstain,"@b.st""en",1,VB,729.5,-0.06,212.02,28,0.88,717.42,-0.18,271.25,26,0.96
abstaining,"@b.st""en.IN",2,VB|NN,861.88,0.26,236.4,32,0.97,791.88,0.08,213.49,25,0.96
abstention,"@b.st""En.Sn=",2,NN,985.39,0.74,366.01,18,0.69,942.13,0.85,249.25,15,0.56
abstinence,"""ab.st@.n@ns",2,NN,884.38,0.17,278.31,29,0.91,742.96,-0.04,148.32,25,0.96
abstinent,"""ab.st@.n@nt",2,JJ,968.9,0.73,325.55,21,0.7,867.26,0.34,320.74,23,0.92
abstract,"""ab.strakt",2,JJ|NN|VB,667.91,-0.4,215.28,33,0.97,622.59,-0.46,110.82,29,1
abstracted,"@b.str""akt.@d",3,JJ|VB,790.52,-0.02,233.85,33,1,679.07,-0.11,152.51,28,0.97
abstractedness,"@b.str""akt.@d.n@s",4,NN,1073.32,0.96,358.42,28,0.97,933.52,0.97,417.95,23,0.88
abstracting,"@b.str""akt.IN",3,VB|NN,875.26,0.11,385.21,31,0.97,740.19,-0.06,152.08,27,1
abstraction,"@b.str""ak.Sn=",3,NN,820.06,0.03,317.43,32,1,686.46,-0.19,171.16,28,1
abstractionism,"ab""strakS@%nIz@m",NULL,NN,1091.77,0.92,521.29,31,0.94,921.29,0.92,235.67,24,0.86
abstractionists,"@b.str""ak.Sn=.Ists",5,NN,1187.81,1.37,384.27,27,0.93,817.73,0.48,194.46,22,0.81
abstractions,"@b.str""ak.Sn=z",4,NN,864.34,0.09,263.64,29,0.94,773.64,0.02,268.54,25,0.96
abstractive,"ab""straktIv",NULL,JJ,972.32,0.71,320.46,28,0.85,751.96,0.17,196.48,26,0.96
abstractly,"""ab.strakt.li",3,RB,806.33,-0.03,280.45,33,0.97,708.48,-0.24,148.87,25,1
abstractors,"ab.str""akt.@`z",4,NN,942.86,0.47,389.84,28,0.88,744.44,0.03,180.61,27,1
abstracts,"""ab.strakts",3,NN|VB,766.5,-0.19,388.85,32,1,629.68,-0.43,121.29,28,1
abstruse,"@b.str""us",1,JJ,1042.6,0.89,377.88,15,0.45,956.69,1.05,251.19,16,0.76
absurd,"@b.s""3`d",1,JJ|NN,736.57,-0.22,225.95,30,0.94,613.81,-0.43,128.34,26,0.96
absurdities,"@b.s""3`4.@.4iz",3,NN,928.44,0.54,398.28,25,0.78,750,0.17,140.17,21,0.88
absurdity,"@b.s""3`4.@.4i",2,NN,860.47,0.22,320.24,32,0.94,704.31,0.01,203.53,26,0.9
absurdly,"@b.s""3`d.li",2,RB,808.72,0.08,303.65,29,0.88,695,-0.27,230.09,27,1
abundance,"@.b""Vn.4@ns",2,NN,698.73,-0.27,209.47,33,0.97,629.82,-0.51,178.02,28,1
abundant,"@.b""Vn.4@nt",2,JJ,660.75,-0.34,187.74,32,0.97,618.93,-0.46,104.24,27,0.96
abuse,"@.bj""uz",1,VB,608.69,-0.7,201.09,32,0.97,581.2,-0.69,133.21,25,1
abused,"@.bj""uzd",2,VB|JJ,620.94,-0.5,163.75,31,0.97,631.96,-0.64,316.05,25,1
abuses,"@.bj""uz.@z",2,VB,632.58,-0.46,155.19,33,0.97,561.2,-0.64,150.22,25,1
abusive,"@.bj""us.Iv",2,JJ,799.24,-0.11,363.78,33,0.97,664.04,-0.37,189,27,1
abut,"@.b""Vt",1,VB,1072.33,0.81,171.91,3,0.09,729.42,-0.16,190.38,19,0.68
abutment,"@.b""Vt.m@nt",2,NN,1089.5,1.1,442.43,6,0.19,871.33,0.87,213.58,12,0.55
abutments,"@.b""Vt.m@nts",3,NN,1164.25,1.45,277.98,4,0.12,821.92,0.5,152.97,12,0.52
abysmal,"@.b""Iz.ml=",2,JJ,714.58,-0.1,218.49,12,0.35,756.5,0.46,252.96,24,0.92
abyss,"@.b""Is",1,NN,651.44,-0.34,153.51,25,0.76,653.04,-0.3,246.81,28,1
acacia,"@.k""e.S@",1,NN,1013.5,0.32,457.5,2,0.06,834.25,0.71,320.53,8,0.33
academic,"%a.k@.d""E.mIk",2,JJ|NN,716.91,-0.32,227.88,32,0.97,725,-0.08,210.92,27,1
academically,"%a.k@.d""E.mIk.li",3,RB,868.61,0.36,233.76,31,0.97,743.89,0.07,187.96,28,1
academicianship,"@.k%a.4@.m""I.Sn=.S%Ip",4,NN,1150.45,1.31,395.78,11,0.48,1184,1.35,370.52,2,0.11
academics,"%a.k@.d""E.mIks",3,NN,682.52,-0.42,254.12,31,0.97,640.39,-0.41,109.44,28,1
academies,"@.k""a.4@.miz",3,NN,794.96,-0.01,408.04,24,0.8,763.69,0.08,133.41,13,0.52
academy,"@.k""a.4@.mi",2,NN,630.97,-0.47,190.44,33,1,735.83,-0.04,189.91,24,0.89
Acadia,"@.k""e.4i@",1,NN,959.62,0.55,299.51,13,0.39,892.09,0.63,243.97,22,0.85
Acapulco,"%a.k@.p""Ul.ko",1,NN,927.84,0.28,414.24,25,0.76,867.17,0.56,319.23,23,0.88
accede,"@k.s""id",2,VB,967.25,0.46,512.91,12,0.43,779,0.06,311.92,12,0.46
acceded,"@k.s""i4.@d",3,VB,880.11,0.21,312.75,18,0.56,830.9,0.59,188.36,20,0.8
accent,"""ak.sEnt",1,NN,674.97,-0.49,283.59,33,1,691.79,-0.19,203.5,28,1
accelerando,"ak.s%E.l@`.r""An.4o",1,JJ|RB,1069.4,1.06,609.99,5,0.16,1021.27,1.39,165.33,11,0.48
accelerate,"@k.s""E.l@`.ret",3,VB,710.85,-0.21,228.69,34,0.97,727.26,0.06,187.97,27,0.96
accelerated,"@k.s""E.l@`.r%e4.@d",4,VB,741.56,-0.13,255.87,32,0.94,720.78,0.02,210.99,27,0.96
accelerating,"@k.s""E.l@`.r%e4.IN",4,VB|NN,832.61,0.17,344.93,31,0.94,765.8,0.19,214.25,25,0.96
acceleration,"@k.s%E.l@`.r""e.Sn=",4,NN,712.16,-0.25,268.17,32,0.91,749.81,-0.03,205.19,27,1
accelerations,"@k.s%E.l@`.r""e.Sn=z",5,NN,828.49,0.22,320.23,35,1,859.63,0.43,216.17,24,0.92
accelerator,"@k.s""E.l@`.r%e4.@`",4,NN,838.23,-0.07,362.25,35,1,747.11,0.11,125.56,28,1
accelerators,"@k.s""E.l@`.r%e4.@`z",5,NN,791.89,0.11,254.91,28,0.97,734.37,0.03,178.27,27,1
accelerometer,"@k.s%E.l@`.r""A.m@.4@`",3,NN,1130.87,0.97,604.18,15,0.56,823.6,0.45,208.49,5,0.33
accelerometers,"@k.s%E.l@`.r""A.m@.4@`z",4,NN,1029.23,1.13,295.8,13,0.52,976.88,1.17,288.94,8,0.53
accented,"""ak.sEn4.@d",2,VB|JJ,642.73,-0.42,150.5,30,0.91,769.53,0.02,154.24,19,0.79
accenting,"""ak.sEn4.IN",2,VB|NN,819.32,-0.06,300.07,31,0.94,746.58,0.16,141.13,19,0.79
accents,"""ak.sEnts",2,NN,641.22,-0.58,163.73,32,0.94,655.59,-0.38,195.15,27,1
accentual,"ak.s""En.tSu@l",2,JJ,865,0.21,294.39,25,0.81,860.4,0.35,348.4,20,0.91
accentuate,"@k.s""En.tSu.et",2,VB,765.43,0.23,264.27,30,0.91,901.52,0.72,289.13,25,0.93
accentuated,"@k.s""En.tSu.%e4.@d",3,VB,938.72,0.43,343.29,29,0.88,947.48,1.03,365.43,25,0.93
accentuates,"@k.s""En.tSu.ets",3,VB,995.73,0.64,461.95,22,0.73,839.38,0.77,245.46,24,0.92
accept,"@k.s""Ept",2,VB,556.39,-0.86,269.94,33,0.97,628.08,-0.42,142.88,26,1
accolade,"""a.k@.led",1,NN,960.35,0.69,441.56,17,0.55,811.74,0.34,206.07,19,0.68
acceptable,"@k.s""Ept.@.bl=",3,JJ,661.06,-0.43,183.3,33,0.97,724.83,-0.1,179.47,29,1
acceptance,"@k.s""Ept.@ns",3,NN,660.75,-0.33,236.56,32,0.97,720.31,0.06,121.97,26,1
accepted,"@k.s""Ept.@d",3,VB|JJ,597.79,-0.64,133.54,33,0.94,630,-0.28,102.16,27,1
accepting,"@k.s""Ept.IN",3,VB,630.55,-0.54,154.72,33,1,687.63,-0.18,209.41,27,0.96
accepts,"@k.s""Epts",3,VB,733.94,-0.37,311.55,31,0.94,682.07,-0.34,173.12,27,1
access,"""ak.sEs",2,NN|VB,677.79,-0.47,271.44,33,0.97,627.54,-0.39,125.51,28,1
accesses,"""ak.sEs.@z",3,NN|VB,749.39,-0.13,216.13,31,0.97,839.1,0.27,271.76,21,0.84
accessible,"@k.s""Es.@.bl=",3,JJ,709.22,-0.38,321.75,32,1,689.75,-0.21,125.81,28,1
accessions,"@k.s""E.Sn=z",4,NN,919.41,0.48,335.02,27,0.87,825.33,0.31,319.73,21,0.84
accessories,"@k.s""E.s@`.riz",3,NN,704.88,-0.31,255.98,33,1,771.15,0.03,198.39,27,1
accessors,"""ak.sEs.@`z",4,NN,912.17,0.09,507.75,23,0.72,809.68,0.29,274.49,19,0.79
accessory,"@k.s""E.s@`.ri",2,NN,687.36,-0.33,194.15,33,0.97,796.19,0.36,268.54,27,1
accident,"""ak.s@.dn=t",2,NN,621.78,-0.61,210.39,32,0.97,610.48,-0.45,113.73,27,1
accidental,"%ak.s@.d""En4.l=",3,JJ,691,-0.21,214.29,33,0.97,645.27,-0.43,93.79,26,1
accidents,"""ak.s@.dn=ts",3,NN,632.74,-0.47,204.38,34,1,609.71,-0.49,114.09,24,0.92
acclaim,"@.kl""em",1,NN|VB,828.19,-0.05,367.1,32,0.94,702.89,-0.23,206.36,27,1
accidentally,"%ak.s@.d""En4.l=.i",4,RB,704.6,-0.2,234.04,35,1,652.37,-0.34,132.6,27,1
acclaimed,"@.kl""emd",2,VB|JJ,694.97,-0.21,171.48,30,0.97,679.42,-0.16,168.32,26,0.96
acclaims,"@.kl""emz",2,VB,801.13,-0.18,349.42,30,0.91,719.72,-0.09,166.05,25,1
acclimate,"""a.kl@.met",2,VB,863.13,0.38,356.33,24,0.77,900.05,0.69,233.38,22,0.88
acclamation,"%a.kl@m.""e.Sn=",2,NN,816,0.29,272.44,23,0.77,764.5,0.15,194.3,24,0.89
acclimatized,"@.kl""aI.m@t.aIzd",4,VB|JJ,1205.63,1.37,481.51,16,0.48,823.67,0.78,221.96,6,0.32
accolades,"""a.k@.ledz",2,NN,899.06,0.37,405.83,18,0.53,831.61,0.41,306.42,23,0.96
accommodate,"@.k""A.m@.det",1,VB,726.15,-0.15,196.9,34,1,683.33,-0.03,114.55,27,1
accommodated,"@.k""A.m@.d%e4.@d",2,VB,705.59,-0.14,224.03,34,1,729.88,0.18,212.87,26,0.96
accommodates,"@.k""A.m@.dets",2,VB,756.63,-0.15,224.15,32,0.94,773.44,0.15,249.93,27,1
accommodating,"@.k""A.m@.d%e4.IN",2,VB|JJ,755.2,-0.06,211.1,30,0.97,814.38,0.21,283.92,26,1
accommodation,"@.k%A.m@.d""e.Sn=",2,NN,864.83,0.07,330.98,35,0.97,721.79,0.08,150.7,28,1
accommodations,"@.k%A.m@.d""e.Sn=z",3,NN,770.88,0.02,245.32,34,1,687.65,-0.07,133.32,26,1
accompanied,"@.k""Vm.p@.nid",4,VB,787.09,-0.01,254.65,32,0.97,748.75,0.05,124.69,24,0.96
accompanies,"@.k""Vm.p@.niz",4,VB,803.45,0.01,355.4,29,0.91,738.52,-0.03,234.21,25,0.93
accompaniment,"@.k""Vm.p@.nI.m@nt",4,NN,728.36,0.09,284.87,22,0.92,824.79,0.51,249.22,19,0.68
accompaniments,"@.k""Vm.p@.nI.m@nts",5,NN,1015.39,0.84,343.96,23,0.88,841.2,0.59,273.89,10,0.42
accompanist,"@.k""Vm.p@.nIst",3,NN,817.18,0.38,271.21,28,0.93,781.5,0.31,216.96,22,0.81
accompanists,"@.k""Vm.p@.nIsts",4,NN,886.08,0.55,342.92,24,0.89,919.93,0.68,250.52,15,0.63
accompany,"@.k""Vm.p@.ni",3,VB,725.84,-0.22,279.75,32,0.91,664.96,-0.32,163.16,28,1
acorns,"""e.kOrnz",2,NN,735.07,-0.05,245.97,30,0.88,715.36,-0.15,164.25,25,0.93
acoustic,"@.k""u.stIk",2,JJ,793.44,0.19,301.39,32,0.97,754.3,0.09,196.34,27,0.96
acoustical,"@.k""u.stIk.l=",3,JJ,855.69,0.49,259.47,29,0.94,775.23,0.43,174.51,22,0.96
acoustics,"@.k""u.stIks",2,NN,790.97,0,256.77,31,0.91,879.83,0.28,220.44,24,0.96
accompanying,"@.k""Vm.p@.ni.IN",4,VB,899.42,0.26,402.95,31,0.94,720.14,-0.08,157.46,22,0.85
accomplice,"@.k""Am.plIs",1,NN,784.33,-0.06,310.5,33,0.97,737.32,0.15,189.1,25,0.93
accomplices,"@.k""Am.plIs.@z",2,NN,940.52,0.59,390.2,31,0.94,811.35,0.42,255.86,23,0.85
accomplish,"@.k""Am.plIS",1,VB,773.12,-0.23,321.47,33,0.97,616.81,-0.37,135.89,26,1
accomplished,"@.k""Am.plISt",2,VB|JJ,726.79,-0.25,272.59,33,1,793.11,0.01,271.84,27,1
accomplishes,"@.k""Am.plIS.@z",2,VB,862.14,0.35,252.67,29,1,673.81,-0.3,123.47,27,1
accomplishing,"@.k""Am.plIS.IN",2,VB,708.63,-0.15,213.01,32,0.94,711.89,-0.11,138.87,27,1
accomplishment,"@.k""Am.plIS.m@nt",2,NN,803.06,0.04,324.4,32,0.97,662.86,-0.22,111.82,28,1
accomplishments,"@.k""Am.plIS.m@nts",3,NN,775.36,0.01,226,28,0.93,722.57,0.03,140.12,28,1
accord,"@.k""Ord",2,NN|VB,683.71,-0.38,191.93,31,0.97,602,-0.47,113.68,24,1
accordance,"@.k""Ord.n=s",3,NN,767.24,-0.09,276.87,33,1,691.15,-0.23,151.16,26,0.96
